Kejadian,KELURAHAN,RAIN_D-1,RAINFALL_D-1,RAIN_LAST3D,ARAINFALL_LAST3D,RAIN_LAST7D,RAINFALL_LAST7D,TEPS_OF_DAY,CIPINANG HULU,SUNTER HULU,PULO GADUNG
TIDAK BANJIR,BALEKAMBANG,NO,0,NO,0,NO,6,TIDAK HUJAN,80,80,330
TIDAK BANJIR,BALEKAMBANG,NO,0,NO,4,NO,4,TIDAK HUJAN,90,80,330
TIDAK BANJIR,BALEKAMBANG,NO,0,NO,1,NO,14,TIDAK HUJAN,80,80,330
TIDAK BANJIR,BALEKAMBANG,NO,0,NO,8,NO,53,TIDAK HUJAN,100,125,330
TIDAK BANJIR,BALEKAMBANG,NO,0,NO,39,NO,94,TIDAK HUJAN,100,100,330
TIDAK BANJIR,BALEKAMBANG,NO,0,NO,25,NO,30,TIDAK HUJAN,110,100,440
TIDAK BANJIR,BALEKAMBANG,NO,0,NO,15,NO,67,TIDAK HUJAN,90,90,330
TIDAK BANJIR,BALEKAMBANG,NO,0,NO,25,NO,37,TIDAK HUJAN,90,105,330
TIDAK BANJIR,BALEKAMBANG,NO,0,NO,44,NO,159,TIDAK HUJAN,105,105,330
TIDAK BANJIR,BALEKAMBANG,NO,0,NO,17,NO,25,TIDAK HUJAN,155,160,450
TIDAK BANJIR,BALEKAMBANG,NO,0,NO,0,NO,22,TIDAK HUJAN,90,100,330
TIDAK BANJIR,BALEKAMBANG,NO,0,NO,0,NO,33,TIDAK HUJAN,95,80,330
TIDAK BANJIR,BALEKAMBANG,NO,0,NO,0,NO,2.5,TIDAK HUJAN,80,70,330
TIDAK BANJIR,BALEKAMBANG,NO,0,NO,0,NO,0,TIDAK HUJAN,75,50,330
TIDAK BANJIR,BALEKAMBANG,YES,14,NO,12,NO,13,HUJAN RINGAN,110,70,370
TIDAK BANJIR,BALEKAMBANG,NO,0,NO,0,NO,23.5,TIDAK HUJAN,75,50,400
TIDAK BANJIR,BALEKAMBANG,NO,0,NO,33.5,NO,80,TIDAK HUJAN,90,100,330
TIDAK BANJIR,BALEKAMBANG,NO,0,NO,0,NO,0,TIDAK HUJAN,80,55,330
TIDAK BANJIR,BALEKAMBANG,YES,4,NO,0,NO,68.5,HUJAN RINGAN,90,90,330
TIDAK BANJIR,BALEKAMBANG,YES,1,NO,0,NO,0,HUJAN RINGAN,85,50,330
TIDAK BANJIR,BALEKAMBANG,NO,0,NO,0,NO,0,TIDAK HUJAN,90,60,330
TIDAK BANJIR,BAMBU APUS,NO,0,NO,0,NO,33,TIDAK HUJAN,95,80,330
TIDAK BANJIR,BAMBU APUS,NO,0,NO,0,NO,2.5,TIDAK HUJAN,80,70,330
TIDAK BANJIR,BAMBU APUS,NO,0,NO,0,NO,0,TIDAK HUJAN,75,50,330
TIDAK BANJIR,BAMBU APUS,YES,14,NO,12,NO,13,HUJAN RINGAN,110,70,370
TIDAK BANJIR,BAMBU APUS,NO,0,NO,0,NO,23.5,TIDAK HUJAN,75,50,400
TIDAK BANJIR,BAMBU APUS,NO,0,NO,33.5,NO,80,TIDAK HUJAN,90,100,330
TIDAK BANJIR,BAMBU APUS,NO,0,NO,0,NO,0,TIDAK HUJAN,80,55,330
TIDAK BANJIR,BAMBU APUS,YES,4,NO,0,NO,68.5,HUJAN RINGAN,90,90,330
TIDAK BANJIR,BAMBU APUS,YES,1,NO,0,NO,0,HUJAN RINGAN,85,50,330
TIDAK BANJIR,BAMBU APUS,NO,0,NO,0,NO,0,TIDAK HUJAN,90,60,330
TIDAK BANJIR,Batu Ampar,NO,0,NO,4,NO,4,TIDAK HUJAN,90,80,330
TIDAK BANJIR,Batu Ampar,NO,0,NO,1,NO,14,TIDAK HUJAN,80,80,330
TIDAK BANJIR,Batu Ampar,NO,0,NO,8,NO,53,TIDAK HUJAN,100,125,330
TIDAK BANJIR,Batu Ampar,NO,0,NO,39,NO,94,TIDAK HUJAN,100,100,330
TIDAK BANJIR,Batu Ampar,NO,0,NO,25,NO,30,TIDAK HUJAN,110,100,440
